1, 1, 1
0.986957, 1.25865, 0.981806
1.00274, 1.51508, 0.966776
1.04371, 1.77661, 0.955148
1.10741, 2.04968, 0.947396
1.19236, 2.3401, 0.944215
1.29788, 2.65333, 0.946532
1.42394, 2.99462, 0.955542
1.57107, 3.36923, 0.972755
1.7403, 3.7825, 1.00007
1.93309, 4.23996, 1.03985
2.15133, 4.74743, 1.09507
2.39731, 5.31102, 1.16943
2.67369, 5.93724, 1.26752
2.98354, 6.63292, 1.39506
3.3303, 7.40521, 1.55916
3.71777, 8.26146, 1.76861
4.15015, 9.20906, 2.03425
4.63198, 10.2551, 2.36943
5.16809, 11.4061, 2.7905
5.76355, 12.6671, 3.31732
6.42352, 14.041, 3.97392
7.1531, 15.5274, 4.78897
7.95704, 17.1207, 5.79633
8.83934, 18.808, 7.03524
9.80268, 20.5664, 8.55009
10.8477, 22.3597, 10.3895
11.9721, 24.134, 12.604
13.1689, 25.8142, 15.2424
14.4255, 27.2998, 18.3453
15.7214, 28.463, 21.9357
17.0259, 29.1499, 26.0067
18.2967, 29.1875, 30.5066
19.4781, 28.399, 35.3223
20.5007, 26.6301, 40.2676
21.284, 23.7837, 45.0798
21.7408, 19.8605, 49.4347
21.787, 14.9924, 52.9856
21.3541, 9.45421, 55.4241
20.4029, 3.63769, 56.5533
18.9364, -2.01273, 56.3466
17.0047, -7.08921, 54.9668
14.7009, -11.3022, 52.7306
12.1469, -14.5234, 50.0291
9.47298, -16.7771, 47.238
6.79929, -18.1925, 44.6505
4.2224, -18.9444, 42.4508
1.8106, -19.2041, 40.7221
-0.39437, -19.1118, 39.4721
-2.37187, -18.7681, 38.6618
-4.11585, -18.2375, 38.2277
-5.62912, -17.5568, 38.097
-6.91905, -16.7454, 38.1951
-7.99477, -15.8134, 38.4499
-8.8657, -14.7684, 38.7939
-9.541, -13.6201, 39.1652
-10.0297, -12.3831, 39.5091
-10.3409, -11.0779, 39.779
-10.485, -9.73071, 39.9379
-10.4734, -8.37199, 39.9598
-10.3198, -7.03398, 39.8299
-10.0395, -5.74817, 39.5444
-9.64986, -4.54273, 39.1095
-9.16959, -3.44038, 38.5393
-8.61814, -2.45715, 37.8537
-8.01496, -1.60184, 37.0756
-7.37877, -0.876441, 36.2285
-6.72682, -0.277035, 35.3349
-6.07438, 0.204846, 34.4148
-5.4344, 0.580793, 33.4847
-4.81736, 0.864155, 32.5575
-4.23129, 1.06889, 31.6431
-3.68188, 1.20866, 30.748
-3.17276, 1.29624, 29.8766
-2.70578, 1.34313, 29.0312
-2.2813, 1.35938, 28.2128
-1.89853, 1.35352, 27.4214
-1.55578, 1.33268, 26.6563
-1.25073, 1.30265, 25.9166
-0.98062, 1.26805, 25.2011
-0.742459, 1.23252, 24.5087
-0.533134, 1.19884, 23.8382
-0.349533, 1.16909, 23.1885
-0.188622, 1.1448, 22.5586
-0.0475016, 1.12705, 21.9475
0.0765554, 1.11659, 21.3546
0.186082, 1.11393, 20.7789
0.283406, 1.11938, 20.22
0.370653, 1.13316, 19.6773
0.44975, 1.1554, 19.1502
0.522437, 1.1862, 18.6383
0.590285, 1.22569, 18.1412
0.654709, 1.27401, 17.6586
0.716988, 1.33133, 17.19
0.778284, 1.39791, 16.7354
0.839658, 1.47408, 16.2943
0.902092, 1.56025, 15.8666
0.966502, 1.65692, 15.4522
1.03375, 1.7647, 15.0509
1.10469, 1.8843, 14.6627
1.18011, 2.01655, 14.2876
1.26084, 2.1624, 13.9256
1.34771, 2.32294, 13.5769
1.44154, 2.49937, 13.2417
1.54321, 2.69305, 12.9204
1.65364, 2.9055, 12.6133
1.7738, 3.13837, 12.3211
1.90472, 3.39349, 12.0445
2.04752, 3.67288, 11.7845
2.2034, 3.9787, 11.5422
2.37364, 4.3133, 11.3191
2.55964, 4.67923, 11.117
2.7629, 5.07917, 10.9379
2.98504, 5.51599, 10.7846
3.22782, 5.99265, 10.6602
3.4931, 6.51224, 10.5684
3.78288, 7.07785, 10.5136
4.09928, 7.6925, 10.5013
4.4445, 8.35907, 10.5378
4.82085, 9.08005, 10.6305
5.23069, 9.85741, 10.7882
5.67635, 10.6922, 11.021
6.16011, 11.5844, 11.3407
6.68408, 12.532, 11.7608
7.25005, 13.531, 12.2964
7.85933, 14.5742, 12.9644
8.51253, 15.6505, 13.7831
9.20928, 16.744, 14.7717
9.94783, 17.8327, 15.9499
10.7247, 18.8876, 17.3362
11.534, 19.872, 18.9464
12.3672, 20.7402, 20.7913
